Year,Year ending,Offence Division,Offence Subdivision,Offence Subgroup,Offence Count,"Rate per 100,000 population"
2023,March,A Crimes against the person,A10 Homicide and related offences,A11 Murder,57,0.8
2023,March,A Crimes against the person,A10 Homicide and related offences,A12 Attempted murder,24,0.4
2023,March,A Crimes against the person,A10 Homicide and related offences,A14 Manslaughter & A13  Accessory/ conspiracy to murder,22,0.3
2023,March,A Crimes against the person,A10 Homicide and related offences,A15 Driving causing death,96,1.4
2023,March,A Crimes against the person,A20 Assault and related offences,A211 FV Serious assault,"6,713",99.3
2023,March,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,"7,911",117.1
2023,March,A Crimes against the person,A20 Assault and related offences,"A22 Assault police, emergency services or other authorised officer","2,971",44.0
2023,March,A Crimes against the person,A20 Assault and related offences,A231 FV Common assault,"16,549",244.9
2023,March,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,"13,114",194.1
2023,March,A Crimes against the person,A30 Sexual offences,A31 Rape,"4,432",65.6
2023,March,A Crimes against the person,A30 Sexual offences,A32 Indecent assault,"5,960",88.2
2023,March,A Crimes against the person,A30 Sexual offences,A33 Incest,458,6.8
2023,March,A Crimes against the person,A30 Sexual offences,A34 Sexual offences against children,"2,290",33.9
2023,March,A Crimes against the person,A30 Sexual offences,A39 Other sexual offences,982,14.5
2023,March,A Crimes against the person,A40 Abduction and related offences,A41 Abduction,188,2.8
2023,March,A Crimes against the person,A40 Abduction and related offences,A42 False imprisonment,479,7.1
2023,March,A Crimes against the person,A40 Abduction and related offences,A43 Slavery and sexual servitude offences,8,0.1
2023,March,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,"2,259",33.4
2023,March,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,337,5.0
2023,March,A Crimes against the person,A60 Blackmail and extortion,A61 Blackmail,630,9.3
2023,March,A Crimes against the person,A60 Blackmail and extortion,A62 Extortion,90,1.3
2023,March,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A711 FV Stalking,"1,595",23.6
2023,March,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,"1,096",16.2
2023,March,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A721 FV Harassment and private nuisance,"2,328",34.5
2023,March,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,"1,108",16.4
