Year,Year ending,Offence Division,Offence Subdivision,Offence Subgroup,Offence Count,"Rate per 100,000 population"
2023,March,A Crimes against the person,A10 Homicide and related offences,A11 Murder,57,0.84354955
2023,March,A Crimes against the person,A10 Homicide and related offences,A12 Attempted murder,24,0.355178758
2023,March,A Crimes against the person,A10 Homicide and related offences,A14 Manslaughter & A13  Accessory/ conspiracy to murder,22,0.325580528
2023,March,A Crimes against the person,A10 Homicide and related offences,A15 Driving causing death,96,1.420715031
2023,March,A Crimes against the person,A20 Assault and related offences,A211 FV Serious assault,6713,99.346458375
2023,March,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,7911,117.075798034
2023,March,A Crimes against the person,A20 Assault and related offences,"A22 Assault police, emergency services or other authorised officer",2971,43.96817039
2023,March,A Crimes against the person,A20 Assault and related offences,A231 FV Common assault,16549,244.910552606
2023,March,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,13114,194.075592898
2023,March,A Crimes against the person,A30 Sexual offences,A31 Rape,4432,65.58967727
2023,March,A Crimes against the person,A30 Sexual offences,A32 Indecent assault,5960,88.202724849
2023,March,A Crimes against the person,A30 Sexual offences,A33 Incest,458,6.777994628
2023,March,A Crimes against the person,A30 Sexual offences,A34 Sexual offences against children,2290,33.889973138
2023,March,A Crimes against the person,A30 Sexual offences,A39 Other sexual offences,982,14.532730839
2023,March,A Crimes against the person,A40 Abduction and related offences,A41 Abduction,188,2.782233603
2023,March,A Crimes against the person,A40 Abduction and related offences,A42 False imprisonment,479,7.088776041
2023,March,A Crimes against the person,A40 Abduction and related offences,A43 Slavery and sexual servitude offences,8,0.118392919
2023,March,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,2259,33.431200576
2023,March,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,337,4.987301724
2023,March,A Crimes against the person,A60 Blackmail and extortion,A61 Blackmail,630,9.323442392
2023,March,A Crimes against the person,A60 Blackmail and extortion,A62 Extortion,90,1.331920342
2023,March,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A711 FV Stalking,1595,23.604588278
2023,March,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,1096,16.219829939
2023,March,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A721 FV Harassment and private nuisance,2328,34.452339505
2023,March,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,1108,16.397419318
2023,March,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A731 FV Threatening behaviour,3816,56.473422487
2023,March,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,3126,46.262033201
2023,March,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,1676,24.803316585
2023,March,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A82 Neglect or ill treatment of people,32,0.473571677
2023,March,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,1351,19.99360424
2023,March,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,3266,48.333909288
2023,March,B Property and deception offences,B10 Arson,B11 Cause damage by fire,1787,26.44601834
2023,March,B Property and deception offences,B10 Arson,B12 Cause a bushfire,23,0.340379643
2023,March,B Property and deception offences,B10 Arson,B19 Other fire related offences,291,4.306542438
2023,March,B Property and deception offences,B20 Property damage,B21 Criminal damage,35594,526.759696021
2023,March,B Property and deception offences,B20 Property damage,B22 Graffiti,3417,50.568575639
2023,March,B Property and deception offences,B20 Property damage,B29 Other property damage offences,524,7.754736212
2023,March,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,5098,75.445887799
2023,March,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,143,2.116273432
2023,March,B Property and deception offences,B30 Burglary/Break and enter,B319 Unknown aggravated burglary,13,0.192388494
2023,March,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,18177,269.003511675
2023,March,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,11452,169.479463922
2023,March,B Property and deception offences,B30 Burglary/Break and enter,B329 Unknown non-aggravated burglary,76,1.124732733
2023,March,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,17534,259.48768079
2023,March,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,49884,738.239048051
2023,March,B Property and deception offences,B40 Theft,B43 Steal from a retail store,22071,326.631265126
2023,March,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,6867,101.62552207
2023,March,B Property and deception offences,B40 Theft,B45 Receiving or handling stolen goods,15130,223.910608552
2023,March,B Property and deception offences,B40 Theft,B46 Fare evasion,30,0.443973447
2023,March,B Property and deception offences,B40 Theft,B49 Other theft,43760,647.609268357
2023,March,B Property and deception offences,B50 Deception,B51 Forgery and counterfeiting,2541,37.60455098
2023,March,B Property and deception offences,B50 Deception,B52 Possess equipment to make false instrument,10,0.147991149
2023,March,B Property and deception offences,B50 Deception,B53 Obtain benefit by deception,25450,376.637474398
2023,March,B Property and deception offences,B50 Deception,B54 State false information,742,10.980943261
2023,March,B Property and deception offences,B50 Deception,B55 Deceptive business practices,10,0.147991149
2023,March,B Property and deception offences,B50 Deception,B56 Professional malpractice and misrepresentation,82,1.213527422
2023,March,B Property and deception offences,B50 Deception,B59 Other deception offences,589,8.716678681
2023,March,B Property and deception offences,B60 Bribery,B61 Bribery of officials,2,0.02959823
2023,March,C Drug offences,C10 Drug dealing and trafficking,C11 Drug dealing,53,0.78435309
2023,March,C Drug offences,C10 Drug dealing and trafficking,C12 Drug trafficking,3965,58.678490609
2023,March,C Drug offences,C20 Cultivate or manufacture drugs,C21 Cultivate drugs,887,13.126814923
2023,March,C Drug offences,C20 Cultivate or manufacture drugs,C22 Manufacture drugs,2,0.02959823
2023,March,C Drug offences,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,1058,15.657463572
2023,March,C Drug offences,C30 Drug use and possession,C31 Drug use,211,3.122613246
2023,March,C Drug offences,C30 Drug use and possession,C32 Drug possession,24750,366.278093963
2023,March,C Drug offences,C90 Other drug offences,C99 Other drug offences,316,4.676520311
2023,March,D Public order and security offences,D10 Weapons and explosives offences,D11 Firearms offences,5273,78.035732908
2023,March,D Public order and security offences,D10 Weapons and explosives offences,D12 Prohibited and controlled weapons offences,9987,147.798760582
2023,March,D Public order and security offences,D10 Weapons and explosives offences,D13 Explosives offences,387,5.727257469
2023,March,D Public order and security offences,D20 Disorderly and offensive conduct,D21 Riot and affray,2038,30.160596182
2023,March,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,3096,45.818059754
2023,March,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,2187,32.365664303
2023,March,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language,380,5.623663665
2023,March,D Public order and security offences,D20 Disorderly and offensive conduct,D25 Criminal intent,1357,20.08239893
2023,March,D Public order and security offences,D20 Disorderly and offensive conduct,D26 Disorderly conduct,374,5.534868975
2023,March,D Public order and security offences,D30 Public nuisance offences,D31 Privacy offences,174,2.575045994
2023,March,D Public order and security offences,D30 Public nuisance offences,D32 Hoaxes,201,2.974622096
2023,March,D Public order and security offences,D30 Public nuisance offences,D33 Begging,30,0.443973447
2023,March,D Public order and security offences,D30 Public nuisance offences,D34 Defamation and libel,40,0.591964596
2023,March,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,3410,50.464981835
2023,March,D Public order and security offences,D30 Public nuisance offences,D36 Other public nuisance offences,15,0.221986724
2023,March,D Public order and security offences,D40 Public security offences,D41 Immigration offences,9,0.133192034
2023,March,D Public order and security offences,D40 Public security offences,D43 Hacking,623,9.219848587
2023,March,D Public order and security offences,D40 Public security offences,D44 Terrorism offences,29,0.429174332
2023,March,D Public order and security offences,D40 Public security offences,D49 Other public security offences,1,0.014799115
2023,March,E Justice procedures offences,E10 Justice procedures,E11 Escape custody,103,1.524308835
2023,March,E Justice procedures offences,E10 Justice procedures,E12 Fail to appear,3,0.044397345
2023,March,E Justice procedures offences,E10 Justice procedures,E13 Resist or hinder officer,8865,131.194153656
2023,March,E Justice procedures offences,E10 Justice procedures,E14 Pervert the course of justice or commit perjury,590,8.731477795
2023,March,E Justice procedures offences,E10 Justice procedures,E15 Prison regulation offences,509,7.532749488
2023,March,E Justice procedures offences,E10 Justice procedures,E19 Other justice procedures offences,1996,29.539033356
2023,March,E Justice procedures offences,E20 Breaches of orders,E21 Breach family violence order,54001,799.167004125
2023,March,E Justice procedures offences,E20 Breaches of orders,E22 Breach intervention order,4424,65.471284351
