Year,Year ending,Offence Subdivision,Offence Group,Offence Description,CSA Drug Type,Offence Count
2023,March,C10 Drug dealing and trafficking,C11 Drug dealing,INTRODUCE DRUG INTO REMAND CENTRE,Not Recorded,4
2023,March,C10 Drug dealing and trafficking,C11 Drug dealing,SEND NARCOTIC SUBSTANCE IN POST-C'WEALTH,Not Recorded,3
2023,March,C10 Drug dealing and trafficking,C11 Drug dealing,SUPPLY A CONTROLLED DRUG TO A CHILD,Not Recorded,11
2023,March,C10 Drug dealing and trafficking,C11 Drug dealing,SUPPLY DOD TO CHILD - USE BY THAT CHILD,Not Recorded,33
2023,March,C10 Drug dealing and trafficking,C11 Drug dealing,SUPPLY DOD TO CHILD-TO SUPPLY ANOR PERSN,Not Recorded,2
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,ATT IMP COM QTY BORDER CONTROLLED DRUG,Not Recorded,2
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,ATT POSS COMM QTY BORD CONT DRUG-COCAINE,Cocaine,2
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,ATT POSS COMM QTY BORDER CONTROLLED DRUG,Not Recorded,8
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,ATT POSS MARKETBL QTY BORDER CNTRLD DRUG,Not Recorded,1
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,ATT POSS MRK QTY UNLW IMP BORD CTRL DRUG,Not Recorded,3
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,ATT TRAFF DRUG OF DEPENDENCE (NOT NAMED),Not Recorded,9
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,ATT TRAFFICK CANNABIS,Cannabis,7
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,ATT TRAFFICK COCAINE,Cocaine,1
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,ATT TRAFFICK COMM QTY - CANNABIS,Cannabis,2
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,ATT TRAFFICK COMM QTY - HEROIN,Heroin,4
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,ATT TRAFFICK COMM QTY - KETAMINE,Other,1
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,ATT TRAFFICK COMM QTY - PRESCRIBED DRUGS,Prescription,1
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,ATT TRAFFICK COMM QTY-METHYLAMPHETAMINE,Methylamphetamine,1
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,ATT TRAFFICK DRUG DEPEND LARGE COMM QTY,Not Recorded,22
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,ATT TRAFFICK DRUG DEPENDENCE COMM QTY,Not Recorded,9
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,ATT TRAFFICK DRUG OF DEPENDENCE TO CHILD,Not Recorded,1
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,ATT TRAFFICK HEROIN,Heroin,5
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,ATT TRAFFICK LARGE COMM QTY -AMPHETAMINE,Amphetamine,1
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,ATT TRAFFICK METHYLAMPHETAMINE,Methylamphetamine,9
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,ATTEMPT IMPORT BORDER CONTROLLED DRUG,Not Recorded,3
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,ATTEMPT POSSESS BORDER CONTROLLED DRUG,Not Recorded,1
